word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
Braun,braun,n. the German mistress of Adolf Hitler (1910-1945)\nn. United States rocket engineer (born in Germany where he designed a missile used against England); he led the United States Army team that put the first American satellite into space (1912-1977),[机] 宥老恩,,,,,26068,0,,,
brava,'brɑ:vɑ:,,int. [向女性喝彩时用]好啊!,,,,,36380,36554,,,
brave,breiv,n. a North American Indian warrior\nn. people who are brave\na. possessing or displaying courage; able to face and deal with danger or fear without flinching\ns. brightly colored and showy,"a. 勇敢的, 美好的, 华丽的\nn. 勇敢者\nvt. 勇敢地面对",,3,1,zk gk cet4 ky,3800,4854,p:braved/r:braver/t:bravest/i:braving/d:braved/3:braves/s:braves,,
bravo,'brɑ:vәu,n. a cry of approval as from an audience at the end of great performance\nv. applaud with shouts of `bravo' or `brava',"n. 亡命徒, 喝彩\ninterj. 好啊\nvt. 喝彩",,,,,25026,30950,s:bravos/f:bravos,,
brawl,brɒ:l,"n. a noisy fight in a crowd\nv. to quarrel noisily, angrily or disruptively","n. 争吵\nvi. 争吵, 哗哗地流水",,1,,toefl gre,15180,14479,s:brawls/i:brawling/3:brawls/d:brawled/p:brawled,,
brawn,brɒ:n,n. possessing muscular strength,"n. 发达的肌肉, 膂力, 体力, 熟腌肉\n[医] 肌质, 肌肉",,,,,33764,25243,,,
braze,breiz,v. solder together by using hard solder with a high melting point,"vt. 使成黄铜色\n[计] 硬钎焊, 铜锌合金焊",,,,,0,40294,p:brazed/d:brazed/i:brazing/3:brazes,,
bread,bred,n. food made from dough of flour or meal and usually raised with yeast or baking powder and then baked\nv. cover with bread crumbs,"n. 面包, 生计, 食物\nvt. 裹以面包屑",,3,1,zk gk,2292,2113,s:breads/i:breading/p:breaded/3:breads/d:breaded,,
break,breik,n. an unexpected piece of good luck\nn. the occurrence of breaking\nn. an abrupt change in the tone or register of the voice (as at puberty or due to emotion)\nn. the opening shot that scatters the balls in billiards or pool,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变\nvt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃\nvi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停\nn. 分隔符\n[计] 分隔符; 中断; DOS内部命令:设定扫描中断按键的时机",,5,1,zk gk ielts,519,494,p:broke/d:broken/i:breaking/3:breaks/s:breaks,,
bream,bri:m,n. flesh of various freshwater fishes of North America or of Europe\nn. flesh of any of various saltwater fishes of the family Sparidae or the family Bramidae\nv. clean (a ship's bottom) with heat,"n. 欧鳊属淡水鱼, 鲷科海鱼\nvt. 打扫",,,,,10985,26623,s:breams/i:breaming/p:breamed/3:breams/d:breamed,,
Breda,,,n. (Breda)人名；(意、葡、挪)布雷达,,,,,49343,0,,,
breed,bri:d,"n. a special variety of domesticated animals within a species\nn. a special type\nv. copulate with a female, used especially of horses\nv. cause to procreate (animals)","n. 种类, 品种\nv. 养育, 引起, 饲养, 繁殖",,3,1,cet4 cet6 ky toefl ielts gre,3721,5698,s:breeds/d:bred/p:bred/i:breeding/3:breeds,,
Breen,bri:n,,n. 褐绿色\na. 褐绿色的,,,,,38696,0,,,
Brent,brent,n small dark geese that breed in the north and migrate southward,[经] 布兰特油田,,,,,10504,0,s:brents,,
brest,brest,n. a port city in northwestern France (in Brittany); the chief naval station of France,n. 布雷斯特（法国一座军港城市）,,,,,27676,0,0:br/1:t,,
brett,bret,n. Same as Britzska.,n. 布雷特（男子名）,,,,,12945,0,,,
brian,'braiәn,,n. 布莱恩（男子名）,,,,,2023,0,,,
briar,'braiә,n. a pipe made from the root (briarroot) of the tree heath,n. [植]石南；荆棘；用石南根制成之烟斗,,,,,25985,23537,s:briars/3:briars,,
bribe,braib,n. payment made to a person in a position of trust to corrupt his judgment\nv. make illegal payments to in exchange for favors or influence,"n. 贿赂\nvt. 贿赂, 收买\nvi. 行贿",,2,,cet6 ky ielts gre,11092,10665,s:bribes/d:bribed/p:bribed/i:bribing/3:bribes,,
brice,brais,,n. 布赖斯（男子名）,,,,,28108,0,,,
brick,brik,n. rectangular block of clay baked by the sun or in a kiln; used as a building or paving material\nn. a good fellow; helpful and trustworthy,"n. 砖块, 积木\na. 用砖做的\nvt. 用砖造, 用砖砌",,2,1,gk cet4 ky toefl,2814,3315,s:bricks/d:bricked/i:bricking,,
bride,braid,n. a woman who has recently been married\nn. a woman participant in her own marriage ceremony,n. 新娘,,2,,gk ky,5104,4871,s:brides,,
brief,bri:f,n. a document stating the facts and points of law of a client's case\nn. a condensed written summary or abstract\nv. give essential information to someone\ns. of short duration or distance,"n. 摘要, 简报\na. 简短的, 短暂的\nvt. 对...作简报, 摘要, 节录",,4,1,gk cet4 ky toefl,1863,2146,d:briefed/s:briefs/i:briefing/t:briefest/r:briefer/p:briefed/3:briefs,,
Brien,,,n. (Brien)人名；(法)布里安；(英)布赖恩,,,,,44261,0,,,
brier,'braiә,n. tangled mass of prickly plants\nn. a thorny stem or twig,n. 多刺木质茎植物\n[医] 欧石南,,,,,37341,30619,s:briers,,
brill,bril,n. European food fish,n. 一种可食用的欧洲比目鱼；鲽类鱼,,1,,,34165,0,,,
brine,brain,n. a strong solution of salt and water used for pickling\nv. soak in brine,"n. 盐水, 海水, 海\nvt. 用浓盐水处理",,,,,16902,16183,s:brines/i:brining/p:brined/3:brines/d:brined,,
bring,briŋ,v. take something or somebody with oneself somewhere\nv. cause to come into a particular state or condition\nv. cause to happen or to occur as a consequence\nv. go or come after and bring or take back,"vt. 带来, 产生, 促使, 提出\nvi. 生产",,5,1,zk gk ielts,195,215,d:brought/p:brought/i:bringing/3:brings,,
brink,briŋk,n. a region marking a boundary\nn. the edge of a steep place,"n. 边缘, 陡岸",,2,,toefl ielts gre,9615,7663,s:brinks,,
briny,'braini,n any very large body of (salt) water\ns slightly salty (especially from containing a mixture of seawater and fresh water),"a. 盐水似的, 海水似的, 咸的\n[机] 含盐度",,,,toefl,0,26904,,,
brisk,brisk,v. become brisk\ns. very active,"a. 强烈的, 寒冷而干燥的, 活泼的\nvt. 使活泼\nvi. 活跃起来",,2,,cet4 cet6 ky toefl ielts gre,8623,9149,r:brisker/i:brisking/t:briskest/b:brisker/z:briskest,,
britt,brit,n the young of a herring or sprat or similar fish\nn minute crustaceans forming food for right whales,n. 小鲱鱼,,,,,29576,0,,,
Brize,bri:z,n. The breeze fly. See Breeze.,n. [昆]牛虻,,,,,30987,0,,,
broad,brɒ:d,n. slang term for a woman\ns. not detailed or specific\ns. lacking subtlety; obvious\ns. being at a peak or culminating point,"a. 宽广的, 辽阔的, 广大的, 显著的\nadv. 宽阔地\nn. 宽阔部分",,4,1,gk cet4 ky,1462,1404,r:broader/t:broadest/s:broads,,
Broca,,n. French anthropologist who studied the craniums and brains of different races of people; remembered for his discovery that articulate speech depends on an area of the brain now known as Broca's area (1824-1880),n. (Broca)人名；(西、法)布罗卡,,,,,31430,0,,,
brock,brɔk,n. A badger.\nn. A brocket.,"n. [动]獾；[英俚]坏蛋, 臭家伙",,,,,23334,0,s:brocks/d:brocked,,
Brody,,,n. 布洛迪（姓氏）,,,,,47486,0,s:brodies,,
broil,brɒil,n. cooking by direct exposure to radiant heat (as over a fire or under a grill)\nv. cook under a broiler\nv. heat by a natural force,"vi. 烤, 争吵, 激动\nvt. 烤\nn. 烤, 灼热, 争吵",,,,gre,48429,14085,p:broiled/3:broils/d:broiled/i:broiling/s:broils,,
broke,brәuk,s. lacking funds,a. 一文不名的\nbreak的过去式,,1,,,18615,10154,0:break/1:pd/d:broke/p:broke,,
bronc,brɔŋk,n an unbroken or imperfectly broken mustang,n. 北美西部产的野马,,,,,0,32477,,,
Bronx,brɒŋks,n. a borough of New York City,"n. 布朗克斯区(纽约行政区), 布朗克斯鸡尾酒",,,,,23944,0,,,
brood,bru:d,"n. the young of an animal cared for at one time\nv. think moodily or anxiously about something\nv. hang over, as of something threatening, dark, or menacing\nv. sit on (eggs)","n. 一窝, 一伙\nvt. 孵, 沉思",,1,,cet4 cet6 ielts gre,15462,14517,p:brooded/s:broods/i:brooding/3:broods/d:brooded,,
brook,bruk,n. a natural stream of water smaller than a river (and often a tributary of a river),n. 小溪\nvt. 容忍,,1,,cet4 cet6 ky toefl gre,10248,22189,s:brooks/p:brooked/3:brooks/i:brooking/d:brooked,,
broom,bru:m,n. a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle\nn. any of various shrubs of the genera Cytisus or Genista or Spartium having long slender branches and racemes of yellow flowers\nv. finish with a broom,"n. 扫帚, 金雀花\nvt. 扫除",,1,,gk cet4 cet6 ky,9809,9418,s:brooms/f:brooms,,
broth,brɒθ,n. liquid in which meat and vegetables are simmered; used as a basis for e.g. soups or sauces\nn. a thin soup of meat or fish or vegetable stock,"n. 原汁清汤, 肉汤\n[医] 肉汤(培养基)",,1,,,16262,5690,s:broths,,
brown,braun,"n. an orange of low brightness and saturation\nn. Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858)\nn. abolitionist who was hanged after leading an unsuccessful raid at Harper's Ferry, Virginia (1800-1859)\nv. fry in a pan until it changes color",n. 褐色\na. 褐色的\nv. (使)变褐色,,5,1,zk gk toefl,2018,1769,s:browns/p:browned/r:browner/d:browned/i:browning/3:browns,,
Bruce,bru:s,n. Australian physician and bacteriologist who described the bacterium that causes undulant fever or brucellosis (1855-1931)\nn. king of Scotland from 1306 to 1329; defeated the English army under Edward II at Bannockburn and gained recognition of Scottish independence (1274-1329),n. 布鲁斯,,,,,4025,0,,,
Bruin,'bru:m,n. a conventional name for a bear used in tales following usage in the old epic `Reynard the Fox',n. 布伦熊(民间故事<<列那狐传奇>>中的熊),,,,,0,31881,,,
bruit,bru:t,v tell or spread rumors,vt. 散播\n[医] [杂]音,,,,gre,0,41418,d:bruited/i:bruiting/p:bruited/3:bruits,,
bruno,'bru:nәu,n. (Roman Catholic Church) a French cleric (born in Germany) who founded the Carthusian order in 1084 (1032-1101)\nn. Italian philosopher who used Copernican principles to develop a pantheistic monistic philosophy; condemned for heresy by the Inquisition and burned at the stake (1548-1600),n. 布鲁诺（男子名）,,,,,9236,0,,,
brunt,brʌnt,n. main force of a blow etc,"n. 主要冲力, 冲击",,1,,gre,13688,13686,,,
brush,brʌʃ,n. a dense growth of bushes\nn. an implement that has hairs or bristles firmly set into a handle\nn. momentary contact\nn. conducts current between rotating and stationary parts of a generator or motor,"n. 刷子, 毛笔, 争吵\nvt. 刷\nvi. 擦过, 掠过\n[计] 电刷",,3,1,zk gk,3418,3223,p:brushed/i:brushing/s:brushes/d:brushed/3:brushes,,
brute,bru:t,n a cruelly rapacious person\nn a living organism characterized by voluntary movement\ns resembling a beast; showing lack of human sensibility,"n. 畜生, 残忍或好色之人\na. 残忍的, 无理性的, 畜生的",,1,,cet4 cet6 gre,11576,11905,s:brutes,,
bryan,'braiәn,n. United States lawyer and politician who advocated free silver and prosecuted John Scopes (1925) for teaching evolution in a Tennessee high school (1860-1925)\nn. a town of east central Texas,n. 布赖恩（男子名）,,,,,6750,0,,,
Bryce,brais,,Canyon National Park (美国)布赖斯峡谷国家公园(在犹他州南部),,,,,17781,0,,,
BskyB,,,n. （缩）英国天空广播公司,,,,,26104,0,,,
bubba, 'bʌbə,,n. （美）好老弟,,,,,0,25909,,,
bucko,'bʌkәu,,n. 欺凌弱小者\na. 持强凌弱的,,,,,0,44609,s:buckos,,
bucks,,"n a gymnastic horse without pommels and with one end elongated; used lengthwise for vaulting\nn a piece of paper money worth one dollar\nn United States author whose novels drew on her experiences as a missionary in China (1892-1973)\nn a framework for holding wood that is being sawed\nn mature male of various mammals (especially deer or antelope)\nv to strive with determination\nv resist\nv move quickly and violently\nv jump vertically, with legs stiff and back arched",n. 雄鹿队（篮球队名）；巴克斯（英国伦敦附近的一个郡名）,,,,,16074,0,0:buck/1:s3,,
buddy,'bʌdi,n. a close friend who accompanies his buddies in their activities,"n. 好朋友, 伙伴",,1,,toefl,15350,4109,s:buddies,,
budge,bʌdʒ,n. United States tennis player who in 1938 was the first to win the Australian and French and English and United States singles championship in the same year (1915-2000),vi. 微微移动\nvt. 推动\nn. 羔羊皮,,1,,toefl gre,14408,11139,d:budged/i:budging/p:budged/3:budges,,
buffy,'bʌfi,"a. Resembling, or characterized by, buff.",a. 喝醉了的,,,,,48195,0,,,
buggy,'bʌgi,n. a small lightweight carriage; drawn by a single horse\ns. infested with bugs,"a. 多虫的\nn. 双轮单座轻马车, 四轮单座马车",,1,,toefl gre,15325,13418,s:buggies,,
bugle,bju:gl,n. a brass instrument without valves; used for military calls and fanfares\nn. any of various low-growing annual or perennial evergreen herbs native to Eurasia; used for ground cover\nn. a tubular glass or plastic bead sewn onto clothing for decoration,"n. 喇叭, 号角\nv. 吹号",,,,cet6 toefl,23643,21910,s:bugles/i:bugling/p:bugled/3:bugles/d:bugled,,
buick,,,n. 别克（汽车品牌）,,,,,40111,0,s:buicks,,
build,bild,"v. build or establish something abstract\nv. improve the cleansing action of\nv. order, supervise, or finance the construction of\nv. give form to, according to a plan","v. 建立, 建筑\nn. 构造, 体格",,5,1,zk gk,415,408,d:built/i:building/p:built/3:builds,,
bulge,bʌldʒ,"n. something that bulges out or is protuberant or projects from its surroundings\nv. swell or protrude outwards\nv. bulge out; form a bulge outward, or be so full as to appear to bulge\nv. cause to bulge or swell outwards","n. 胀, 膨胀\nvi. 凸出\nvt. 使膨胀",,1,,ielts gre,9928,9786,i:bulging/p:bulged/s:bulges/3:bulges/d:bulged,,
bulky,'bʌlki,s. of large size for its weight,"a. 庞大的\n[机] 庞大, 笨重",,1,,toefl,9875,9495,r:bulkier/t:bulkiest,,
bulla,"'bʌlә, 'bulә",n. the round leaden seal affixed to a papal bull,"n. 大疱, 大水疱\n[医] 大疱, 大泡",,,,,0,41373,,,
bully,'buli,n. a cruel and brutal fellow\nn. a hired thug,"n. 欺凌弱小者, 土霸\nvt. 威胁, 恐吓, 欺负\nvi. 欺负\na. 特好的, 第一流的\nadv. 十分",,2,,ky toefl ielts gre,8526,7398,d:bullied/s:bullies/i:bullying/p:bullied/3:bullies,,
bumph,'bʌmf,"n reading materials (documents, written information) that you must read and deal with but that you think are extremely boring","n. (同bumf) <英俚>公文,手纸",,,,,39506,0,,,
bumpy,'bʌmpi,s. covered with or full of bumps,"a. 颠簸的, 崎岖不平的",,1,,,14672,12588,r:bumpier/t:bumpiest,,
Bunce,,n a sudden happening that brings good fortune (as a sudden opportunity to make money),邦斯（男子名）,,,,,29150,0,,,
bunch,bʌntʃ,n. a grouping of a number of similar things\nn. any collection in its entirety\nv. gather or cause to gather into a cluster,"n. 串, 束\n[医] 骨肿块(马)",,3,1,gk cet4 cet6 ky toefl ielts,4503,2658,s:bunches/d:bunched/i:bunching/p:bunched/3:bunches,,
bunco,'bʌŋkәu,n. a swindle in which you cheat at gambling or persuade a person to buy worthless property,"n. 邦科(一种纸牌戏), 欺诈\nvt. 行骗",,,,,0,46352,i:buncoing/p:buncoed/3:buncos/d:buncoed/f:buncos,,
Bundy,,,n. (Bundy)人名；(匈、瑞典)本迪；(英)邦迪,,,,,43105,0,,,
bungy,,,n. 蹦极,,,,,49826,0,,,
bunny,'bʌni,n. a young waitress in a nightclub whose costume includes the tail and ears of a rabbit\nn. (usually informal) especially a young rabbit,n. 兔子,,1,,,10764,11945,s:bunnies/p:bunnied,,
Burge,,,n. (Burge)人名；(法)比尔热；(英)伯奇,,,,,39956,0,s:burges/3:burges,,
burgh,'bә:g,n. a borough in Scotland,n. 自治市,,,,,17744,0,s:burghs,,
burin,'bjuәrin,n. a chisel of tempered steel with a sharp point; used for engraving,n. 冰凿,,,,,0,43739,,,
burka,'bә:kә,n a loose garment (usually with veiled holes for the eyes) worn by Muslim women especially in India and Pakistan,n. (穆斯林女子在公众场合下穿的)蒙住全身(只留眼睛)的长袍,,,,,0,34131,s:burkas,,
burke,bә:k,"n. British statesman famous for his oratory; pleaded the cause of the American colonists in British Parliament and defended the parliamentary system (1729-1797)\nv. murder without leaving a trace on the body\nv. get rid of, silence, or suppress","vt. 秘密地除去, 秘密地消灭, 压制",,,,,10239,0,i:burking/p:burked/3:burkes/d:burked,,
burly,'bә:li,s muscular and heavily built,"a. 结实的, 粗壮的, 率直的",,1,,,15559,13035,r:burlier/3:burlies/t:burliest,,
Burma,'bә:mә,n a mountainous republic in southeastern Asia on the Bay of Bengal,n. 缅甸,,,,,9218,0,,,
burns,bә:nz,n. United States comedian and film actor (1896-1996)\nn. celebrated Scottish poet (1759-1796),n. 络腮胡子,,,,,7179,0,0:burn/1:s3,,
burnt,bә:nt,"v destroy by fire\nv shine intensely, as if with heat\nv undergo combustion\nv cause a sharp or stinging pain or discomfort\nv cause to burn or combust\nv feel strong emotion, especially anger or passion\nv cause to undergo combustion\nv burn at the stake\nv spend (significant amounts of money)\nv feel hot or painful\nv burn, sear, or freeze (tissue) using a hot iron or electric current or a caustic agent\nv get a sunburn by overexposure to the sun\nv create by duplicating data\nv use up (energy)\nv burn with heat, fire, or radiation\ns ruined by overcooking\ns treated by heating to a high temperature but below the melting or fusing point\ns destroyed or badly damaged by fire",burn的过去式和过去分词,,,1,,11915,11973,0:burn/1:dp/d:burnt,,
burqa,'bɜ:kə,n. a loose garment (usually with veiled holes for the eyes) worn by Muslim women especially in India and Pakistan,n. 布卡（伊斯兰国家妇女穿的蒙面长袍）,,,,,0,28111,,,
Burra,'bʌrә,,大人(印度人对家长、军官、首长等的尊称),,,,,44736,0,,,
burro,'burәu,n. small donkey used as a pack animal,n. 小驴,,,,,0,23617,,,
bursa,'bә:sә,n. a city in northwestern Turkey\nn. a small fluid-filled sac located between movable parts of the body especially at joints,"n. 囊, 黏液囊\n[医] 囊, 粘液囊, 伞(昆虫)",,,,,31049,0,,,
burst,bә:st,"n. a sudden flurry of activity (often for no obvious reason)\nv. come open suddenly and violently, as if from internal pressure\nv. move suddenly, energetically, or violently\nv. emerge suddenly","n. 破裂, 突发, 爆发\nv. 爆裂, 突发, 充满\n[计] 二进制位组; 字符组; 脉冲串",,3,1,gk cet4 cet6 ky toefl,3011,3560,p:burst/0:burst/1:pd/i:bursting/s:bursts/d:burst/3:bursts,,
Burun,,,n. (Burun)人名；(土)布伦,,,,,9451,0,,,
busby,'bʌzbi,n tall hat; worn by some British soldiers on ceremonial occasions,n. 毛皮制高帽子,,,,,24473,0,s:busbys,,
Busch,buəʃ,,n. 布施（姓氏）,,,,,45352,0,,,
bushy,'buʃi,s. used of hair; thick and poorly groomed\ns. resembling a bush in being thickly branched and spreading,"a. 灌木一样的, 灌木茂密的, 浓密的",,1,,,18947,15683,r:bushier/3:bushies,,
busty,'bʌsti,s (of a woman's body) having a large bosom and pleasing curves,"a. 大胸脯的, 胸部丰满的",,,,,36137,25206,r:bustier,,
butch,butʃ,n. (slang) offensive term for a lesbian who is noticeably masculine\ns. used of men; markedly masculine in appearance or manner\ns. (of male or female homosexuals) characterized by stereotypically male traits or appearance,n. [俚]充当男性角色的女同性恋者；粗鲁的男人或男孩,,1,,,23678,25592,i:butching/s:butches,,
butte,bju:t,n. a hill that rises abruptly from the surrounding region; has a flat top and sloping sides\nn. a town in southwestern Montana; center for mining copper,n. 孤峰,,,,,0,23601,s:buttes,,
butty,'bʌti,n. a sandwich,n. （英）三明治；伙伴；监工,,,,,25520,0,s:butties,,
butyl,'bju:til,n. a hydrocarbon radical (C4H9),n. 丁基\n[医] 丁基,,,,,39794,0,,,
buxom,'bʌksәm,s. (of a female body) healthily plump and vigorous;,"a. (妇女)丰满的, 健美的",,,,gre,32855,26548,,,
buyer,'baiә,n. a person who buys,"n. 买主, 买方\n[经] 买主, 买方, 买手",,,1,,2056,2953,s:buyers,,
buzzy,'bʌzi,,n. 伸缩式风钻,,,,,0,37802,,,
BYATT,,,拜厄特,,,,,40233,0,,,
Byers,,,（人名）拜尔斯,,,,,42590,0,0:byer/1:s,,
bylaw,'bailɔ:,n. a rule adopted by an organization in order to regulate its own affairs and the behavior of its members,"n. 附则, 细则",,,,,44766,20181,s:bylaws,,
Byrne,,,n. 伯恩（姓氏）,,,,,9224,0,s:byrnes/3:byrnes,,
byron,'baiәrәn,n. English romantic poet notorious for his rebellious and unconventional lifestyle (1788-1824),n. 拜伦（男子名）,,,,,12379,0,,,
byway,'baiwei,n. a side road little traveled (as in the countryside),"n. 旁道, 偏僻小路",,,,,22812,20880,s:byways,,
cabal,kә'bæl,n. a clique (often secret) that seeks power usually through intrigue,"n. 秘密结社, (尤指政治上的)阴谋\nvi. 策划阴谋",,,,toefl gre,33672,23307,s:cabals/i:caballing/p:caballed/3:cabals/d:caballed,,
cabby,'kæbi,n someone who drives a taxi for a living,"n. 出租车司机, 出租马车的车夫",,,,,26410,22303,s:cabbies,,
caber,'keibә,n. a heavy wooden pole (such as the trunk of a young fir) that is tossed as a test of strength (in the Highlands of northern Scotland),n. 长树干,,,,,0,45477,s:cabers,,
cabin,'kæbin,"n. small room on a ship or boat where people sleep\nn. a small house built of wood; usually in a wooded area\nn. the enclosed compartment of an aircraft or spacecraft where passengers are carried\nv. confine to a small space, such as a cabin","n. 小屋, 客舱\nvt. 关在小屋",,2,,cet4 cet6 ky toefl ielts,4831,3152,s:cabins/i:cabining/p:cabined/3:cabins/d:cabined/f:cabins,,
cable,'keibl,n. a telegram sent abroad\nn. a conductor for transmitting electrical or optical signals or electric power\nn. a very strong thick rope made of twisted hemp or steel wire\nn. a nautical unit of depth,"n. 电缆, 海底电报, 缆, 索\nvi. 打海底电报\nvt. 发海底电报, 缚住\n[计] 电缆",,3,1,cet4 cet6 ky toefl ielts,3033,2003,s:cables/p:cabled/d:cabled/i:cabling/3:cables,,
cabot,'kæbәt,n. son of John Cabot who was born in Italy and who led an English expedition in search of the Northwest Passage and a Spanish expedition that explored the La Plata region of Brazil; in 1544 he published a map of the world (1476-1557)\nn. Italian explorer who led the English expedition in 1497 that discovered the mainland of North America and explored the coast from Nova Scotia to Newfoundland (ca. 1450-1498),"n. 卡伯特（意大利航海家, 北美大陆的发现者）",,,,,41640,0,,,
Cabra,,,n. (Cabra)人名；(西)卡夫拉\nabbr. 铜和黄铜研究协会（copper and brass research association）,,,,,31203,0,,,
cacao,kә'kɑ:әu,n. tropical American tree producing cacao beans,"n. 可可豆, 可可树\n[医] 可可",,,,,0,23839,,,
cache,kæʃ,n. a hidden storage space (for money or provisions or weapons)\nn. (computer science) RAM memory that is set aside as a specialized buffer storage that is continually updated; used to optimize data transfers between system elements with different characteristics,"n. 隐藏所, 隐藏的粮食或物资, 贮藏物, 高速缓冲存储器\nvt. 隐藏, 窖藏\n[计] 高速缓冲存储器, 高速缓冲",,1,,gre,10655,8893,i:cacheing/p:cached/3:caches/d:cached/f:caches,,
cacti,'kæktai,n any succulent plant of the family Cactaceae native chiefly to arid regions of the New World and usually having spines,pl. 仙人掌,,,,toefl,0,0,0:cactus/1:s,,
caddy,'kædi,n. a can for storing tea,"n. 小盒子, 小罐, 茶叶罐\n[计] 光盘盒",,,,,26164,19738,s:caddies/i:caddying/p:caddied/d:caddied/3:caddies,,
cadet,kә'det,n. a military trainee (as at a military academy),n. 军官学校学生\n[法] 军校学生,,1,,gre,10288,8115,s:cadets,,
cadge,kædʒ,v ask for and get free; be a parasite\nv obtain or seek to obtain by cadging or wheedling,"v. 行乞, 乞讨, 贩卖",,,,gre,35131,35671,i:cadging/p:cadged/3:cadges/d:cadged,,
Cadiz,,n. an ancient port city in southwestern Spain,n. 加的斯,,,,,27959,0,,,
cadre,'kædri.'kɑ:dә,n. a nucleus of military personnel capable of expansion,"n. 框架, 干部\n[经] 干部",,1,,,16183,10547,s:cadres,,
caged,,v confine in a cage,a. 关在笼子里的,,,,,20773,19757,0:cage/1:dp/d:caged,,
cages,keidʒz,n an enclosure made or wire or metal bars in which birds or animals can be kept\nn something that restricts freedom as a cage restricts movement\nn United States composer of avant-garde music (1912-1992)\nn the net that is the goal in ice hockey\nn a movable screen placed behind home base to catch balls during batting practice\nv confine in a cage,n. 笼子( cage的名词复数 ),,,,ielts,0,0,1:s3/0:cage,,
cagey,'keidʒi,s. showing self-interest and shrewdness in dealing with others\ns. characterized by great caution and wariness,"a. 狡猾的, 机警的, 有戒心的, 不敢表态的, 小心谨慎的, 不甚友善的",,,,,23902,25727,,,
caine,,,n. 该隐（《圣经·旧约》中亚当和夏娃的长子）,,,,,23183,0,,,
caird,kєәd,n. A traveling tinker; also a tramp or sturdy beggar.,"n. 流动铜匠, 游民",,,,,39123,0,,,
cairn,kєәn,n. a mound of stones piled up as a memorial or to mark a boundary or path\nn. small rough-haired breed of terrier from Scotland,"n. 石堆纪念碑, 石冢, 堆石界标",,,,,16517,25440,s:cairns,,
Cairo,'kaiәrәu,n. a town at the southern tip of Illinois at the confluence of the Ohio and Mississippi Rivers\nn. the capital of Egypt and the largest city in Africa; a major port just to the south of the Nile delta; formerly the home of the Pharaohs,n. 开罗,,,,,7341,0,,,
cajun,'keidʒәn,n. a Louisianian descended from Acadian immigrants from Nova Scotia (`Cajun' comes from `Acadian'),n. 法人后裔（移居美国路易斯安纳州的）,,,,,37281,13750,s:cajuns,,
caleb,'kælәb,,n. 迦勒（男子名）；卡莱布（手表品牌）；“天狗”发射装置,,,,,37414,0,,,
calla,'kælә,n. water arum,"n. 水芋, 海芋属植物, 马蹄莲",,,,,45877,33341,s:callas,,
calle,,n. A kind of head covering; a caul.,n. （西）街道,,,,,42252,0,s:calles,,
cally,,,[法] 警察局,,,,,32075,0,,,
calor,'kælә(r),,"[医] 灼热, 热",,,,,34658,0,,,
calve,kɑ:v,v. release ice\nv. birth,"v. 生小牛, 下仔, (使)崩解",,,,,27823,26130,d:calved/0:calve/i:calving/1:3/p:calved/3:calve,,
Calvo,,,n. (Calvo)人名；(西、意、葡、英)卡尔沃,,,,,49339,0,s:calvos,,
calyx,'keiliks,n. (botany) the whorl of sepals of a flower collectively forming the outer floral envelope or layer of the perianth enclosing and supporting the developing bud; usually green,"n. 花萼\n[医] 盏, [花]萼",,,,,43927,34327,s:calyxes,,
Cambs,,,abbr. Cambridgeshire,,,,,25585,0,,,
camel,'kæml,n. cud-chewing mammal used as a draft or saddle animal in desert regions,"n. 骆驼, 打捞浮筒",,1,,zk gk cet4 cet6 ky toefl,7869,6953,s:camels,,
cameo,'kæmiәu,n. engraving or carving in low relief on a stone (as in a brooch or ring),n. 刻有浮雕的宝石或贝壳,,1,,gre,18714,14995,s:cameos,,
campo,'kæmpәu,,n. 南美草原,,,,,25635,28876,s:campos,,
campy,'kæmpi,s providing sophisticated amusement by virtue of having artificially (and vulgarly) mannered or banal or sentimental qualities,"a. 一副下流相的, 忸怩作态的",,,,,0,22413,,,
CAMRA,'kæmrə,,abbr. 争取散装啤酒运动（Campaign for Real Ale）,,,,,18169,0,,,
Camus,"kɑ:'mju, kә'mjɔ",n. French writer who portrayed the human condition as isolated in an absurd world (1913-1960),"加缪(Albert, 1913-1960, 法国小说家、剧作家, 曾获1957年诺贝尔文学奖)",,,,,27125,0,,,
canal,kә'næl,n. (astronomy) an indistinct surface feature of Mars once thought to be a system of channels; they are now believed to be an optical illusion\nn. long and narrow strip of water made for boats or for irrigation\nv. provide (a city) with a canal,"n. 运河, 水道, 管, 沟渠\nvt. 开运河",,2,,gk cet4 cet6 ky toefl ielts,2963,5394,s:canals/i:canalling/p:canalled/3:canals/d:canalled,,
cance,,, [人名] 坎斯,,,,gk,0,0,,,
candy,'kændi,n. a rich sweet made of flavored sugar and often combined with fruit or nuts,"n. 糖果, 冰糖\nvt. 用糖煮, 使结晶为砂糖\nvi. 结晶为砂糖",,1,1,zk gk cet4 ky,10657,3446,p:candied/s:candies/d:candied/i:candying/3:candies,,
